Chunk_ID,Longitude,Latitude,Altitude_m,MC_Draws
1,84.6577464730088,27.582059623946115,224.8,5
2,84.72251993242853,27.664084128232528,623.0,5
3,84.68348240579301,27.635060083581394,419.6,5
4,84.59965101632676,27.63009464904661,218.6,5
5,84.76560171274949,27.696398366507385,1470.8,5
6,84.71672938030257,27.591792253231812,469.2,5
7,84.71528463368851,27.70846017844268,1322.8,5
8,84.63884792991328,27.657026085654774,395.8,5
9,84.6641129121697,27.63154569334786,375.8,5
10,84.61597486892352,27.622620035207753,229.2,5
11,84.67733056748648,27.67037306480464,906.0,5
12,84.69323949975109,27.5935085124144,271.0,5
13,84.74414142380608,27.72859154218976,1184.0,5
14,84.69443436591064,27.62349941322314,515.8,5
15,84.74845408814207,27.665140608842997,725.0,5
16,84.60563551333838,27.671978310104766,333.4,5
17,84.6558311216893,27.610523689989954,247.0,5
18,84.71080522392023,27.648343357057314,512.8,5
19,84.68771721458128,27.69260554506348,1309.2,5
20,84.64617223648126,27.597512388264235,218.6,5
21,84.66973399223669,27.659995893075212,559.2,5
22,84.78227015455809,27.67357548157471,1077.6,5
23,84.73414512704747,27.688650653665714,710.0,5
24,84.62272426387057,27.647968440262154,316.0,5
25,84.7031352723652,27.66714063042369,716.8,5
26,84.72964598999265,27.59653393346179,490.6,5
27,84.71013956919103,27.638344129081016,463.6,5
28,84.70572345992652,27.572282737942878,248.0,5
29,84.7264784996221,27.626126643838692,388.2,5
30,84.67556932261563,27.616134098810445,456.8,5
31,84.79061442549194,27.696937539852545,1423.0,5
32,84.64193698428925,27.617063988571413,245.0,5
33,84.75159332309197,27.70679730129082,903.0,5
34,84.67151776472254,27.590136813360182,227.8,5
35,84.63995459417214,27.643456200024378,342.0,5
36,84.70756160347595,27.68241843479497,668.2,5
37,84.69579390173769,27.699189071006696,1161.4,5
38,84.60272084505051,27.61320294292047,212.2,5
39,84.75783662498112,27.654593303803022,635.4,5
40,84.71969134006991,27.58099876761188,257.0,5
41,84.6309997709244,27.583408324185687,218.0,5
42,84.7706404053283,27.7203586803535,1164.8,5
43,84.66122303113208,27.645543042074326,391.4,5
44,84.69662670848294,27.609864583108948,679.6,5
45,84.7224693388151,27.708317589747192,907.6,5
46,84.72809038949231,27.674001928690622,568.2,5
47,84.68154633215129,27.659544033784385,755.2,5
48,84.62241324778988,27.661366193255862,356.4,5
49,84.75592721572228,27.69693517866836,1145.4,5
50,84.7554733321478,27.67022686277866,1064.4,5
51,84.68822190470112,27.649713135476887,754.2,5
52,84.73892423531554,27.718664627551618,916.8,5
53,84.64650325904412,27.606577203310408,224.8,5
54,84.62561859898499,27.595128948518713,214.0,5
55,84.78681507879726,27.687439335424884,1503.8,5
56,84.60140228407018,27.66751556720453,284.2,5
57,84.73731472697843,27.70524174981539,645.2,5
58,84.63350550311732,27.61146614783949,227.2,5
59,84.70419387782424,27.602350009768152,542.6,5
60,84.72746882631381,27.612815624753168,556.2,5
61,84.61387730050994,27.600553214747862,212.0,5
62,84.6380652436797,27.62857076568684,271.0,5
63,84.71590131171985,27.717500469569547,1215.2,5
64,84.7015886581516,27.634496931715343,450.6,5
65,84.76616374347817,27.715584276921902,947.0,5
66,84.70254285449037,27.718989014173847,1371.6,5
67,84.71175042061981,27.583461941361485,287.2,5
68,84.69069479153578,27.60359087354506,447.2,5
69,84.75562895560462,27.733792458810377,1292.0,5
70,84.67912460302155,27.63191533417182,363.8,5
71,84.6533785229876,27.64158889783821,370.0,5
72,84.75765662929994,27.677768125984613,809.0,5
73,84.70152487986842,27.6918895831139,920.2,5
74,84.65964746714481,27.591244639654825,224.0,5
75,84.72761743968366,27.58710041980736,282.2,5
76,84.69844400252946,27.681904734882103,947.2,5
77,84.68122544026592,27.668194186976212,944.2,5
78,84.67210900397515,27.604010336567313,279.4,5
79,84.76548686130016,27.66018125553288,905.4,5
80,84.62648156425361,27.66881173261885,498.0,5
81,84.71237371470936,27.6242236742681,565.6,5
82,84.6976694340781,27.579872388293115,240.6,5
83,84.66934597871757,27.649930266117845,540.8,5
84,84.65816900965736,27.670364032617037,779.6,5
85,84.72114733417077,27.646090168369653,451.8,5
86,84.61838347800585,27.629625404132497,239.4,5
87,84.73847097556236,27.669406096466517,552.0,5
88,84.6864280510771,27.583151390574834,233.6,5
89,84.71045360471292,27.67140521423906,779.4,5
90,84.65626941618994,27.629459089223285,403.2,5
91,84.72070948915311,27.609717562906386,840.2,5
92,84.7782534693081,27.705870295753062,1250.4,5
93,84.64826070394236,27.659249813527115,528.4,5
94,84.76471002613867,27.687850386723085,1160.6,5
95,84.59938732405976,27.651270343865374,276.4,5
96,84.60853768489486,27.685106917518006,433.0,5
97,84.7198193965608,27.69244413998762,1089.0,5
98,84.69626628994317,27.64660203419912,747.4,5
99,84.67745783181793,27.60287651164282,290.6,5
100,84.74396660882677,27.716783269878505,876.6,5
