Chunk_ID,Longitude,Latitude,Altitude_m
1,84.76628553360246,27.568811817859462,730.0
2,84.88190777295391,27.422615344323685,518.0
3,84.8408799609009,27.49471350857732,337.0
4,84.9332428275185,27.39004585855804,676.0
5,84.8706471341639,27.46569247386988,365.0
6,84.82560852666545,27.42969262820639,585.0
7,84.91612442273825,27.44478856903216,441.0
8,84.79699698015119,27.56246211677487,783.0
9,84.82419143837741,27.53261178124539,505.0
10,84.73120674990594,27.57519546571583,301.0
11,84.93935083404283,27.40596471595386,571.0
12,84.91475616167092,27.401391534991742,628.0
13,84.86941536337999,27.490124425192782,422.0
14,84.83065350175276,27.462506494686142,515.0
15,84.86047438496834,27.434414524860472,555.0
16,84.74776373643141,27.588149905275667,742.0
17,84.85646673313133,27.411443819826154,623.0
18,84.9444470685885,27.423671052478593,514.0
19,84.8898980017476,27.44425117997733,401.0
20,84.88352421189995,27.391751350300503,612.0
21,84.76884565800114,27.551398369606442,408.0
22,84.8050932806406,27.44503237425996,639.0
23,84.85094239240163,27.520077904050734,881.0
24,84.89030080574564,27.479467157032683,475.0
25,84.78127986274124,27.579960004970754,792.0
26,84.84261626215294,27.448559820896104,510.0
27,84.79248134259574,27.541642093075254,307.0
28,84.90876818841961,27.37758153891594,752.0
29,84.84971851634079,27.47102940629587,473.0
30,84.94100314502012,27.3697181880203,768.0
31,84.89674026529285,27.413894475537443,558.0
32,84.92432737467597,27.428398709676284,461.0
33,84.8999113515854,27.461859827249164,363.0
34,84.82785873548285,27.511378577037217,306.0
35,84.75314644444194,27.55232633193586,339.0
36,84.82800994720427,27.4799336032656,448.0
37,84.80911222280581,27.543429575004154,347.0
38,84.93516840392347,27.449162852150074,409.0
39,84.75555486689063,27.59975439286294,604.0
40,84.84017664585375,27.4172807756689,598.0
41,84.87030125828674,27.39851543132327,623.0
42,84.88785382198259,27.492429077856674,619.0
43,84.74516147055601,27.574620380947383,530.0
44,84.76401414521283,27.584762116272245,797.0
45,84.8592425351127,27.48380365104671,326.0
46,84.8476158580516,27.502744816760075,437.0
47,84.8978072474766,27.435892796493132,429.0
48,84.81817739257075,27.455460416711922,651.0
49,84.89279658426244,27.395467104173953,640.0
50,84.86203216050525,27.45543544315598,421.0
51,84.92013435205266,27.379455231253598,718.0
52,84.92011307990082,27.416977325281994,590.0
53,84.9531595077269,27.399577045124005,557.0
54,84.88448559928706,27.458530529612055,402.0
55,84.79660000212124,27.57773856736328,538.0
56,84.78716827691169,27.550041195933932,557.0
57,84.8786222158299,27.434439098881374,470.0
58,84.86159893401556,27.502412835377733,711.0
59,84.9496305521954,27.412964902204983,493.0
60,84.83844645999852,27.433721144806782,605.0
61,84.8083147364981,27.432742991784927,591.0
62,84.78306001158755,27.56431727794456,858.0
63,84.83650450515468,27.524855500301776,637.0
64,84.88150203275048,27.410252330076794,540.0
65,84.87371248430358,27.450334394872417,418.0
66,84.86828575615476,27.411410775798757,545.0
67,84.90451561797303,27.390779276838778,611.0
68,84.93593323712894,27.443606119250315,477.0
69,84.73682474255362,27.55916067671551,285.0
70,84.9046455125482,27.427429378012388,515.0
71,84.90506085013995,27.450935702511913,414.0
72,84.74180658119228,27.6035262074069,544.0
73,84.86672132390362,27.425950141379978,564.0
74,84.92060374207298,27.394906847668295,603.0
75,84.8172010554235,27.441915280479552,637.0
76,84.87753045340224,27.477345638921484,360.0
77,84.75407607884028,27.573847373954056,633.0
78,84.84410314692506,27.46832237619341,474.0
79,84.85729083979271,27.425573302498048,625.0
80,84.83061374830982,27.497265316680256,331.0
81,84.84187721632543,27.482413440649403,350.0
82,84.85358972016037,27.451437413852073,533.0
83,84.82677393517098,27.52329128090774,351.0
84,84.93062854312905,27.41874241552347,502.0
85,84.89264710990697,27.42940735725544,463.0
86,84.83095732076522,27.44682959100762,542.0
87,84.95609369202893,27.426913301243864,444.0
88,84.77198701808888,27.58792621404328,589.0
89,84.90801440324933,27.40583066898455,573.0
90,84.80451657448828,27.569193615501632,589.0
91,84.87403007828385,27.498737515695318,649.0
92,84.94348911842692,27.381737715211155,702.0
93,84.79817243205821,27.549776638889874,492.0
94,84.74093102597246,27.594890894813297,659.0
95,84.84574322062886,27.51279071186324,626.0
96,84.82197662563617,27.54290333859206,636.0
97,84.85084395401574,27.442077434933655,579.0
98,84.82310492333967,27.471452869039044,560.0
99,84.859939076765,27.474037063443905,398.0
100,84.71709973761357,27.564706920585447,247.0
101,84.78047662995519,27.545050165511373,363.0
102,84.81837016964523,27.425021195297415,552.0
103,84.85396647406236,27.48928536651671,321.0
104,84.9313266666351,27.432428497655387,487.0
105,84.94623427629139,27.441237917349763,444.0
106,84.75840570146563,27.55751366668999,382.0
107,84.81417311091005,27.526543557277197,311.0
108,84.91172938095067,27.43352368234139,492.0
109,84.86385914595779,27.44390424634777,537.0
110,84.77066072279705,27.57577230741291,880.0
111,84.90044532450213,27.44482986001196,405.0
112,84.92139729604224,27.449447957633446,402.0
113,84.90874397060722,27.416364180448518,489.0
114,84.92481140519253,27.406876289352528,594.0
115,84.84648736963857,27.46232201602653,551.0
116,84.93567376472868,27.378212832519985,754.0
117,84.83553030068342,27.50374213888492,326.0
118,84.83152510804567,27.421645379524875,584.0
