Chunk_ID,Longitude,Latitude,Altitude_m,MC_Draws
1,84.58974242089853,27.604687129861677,206.8,5
2,84.55632781095382,27.572187465770437,197.4,5
3,84.57237751532963,27.66597927107469,424.4,5
4,84.5647252155106,27.611584663930003,200.8,5
5,84.60755801634772,27.581582639136013,214.8,5
6,84.51964451516776,27.57140233501224,192.0,5
7,84.58585955360155,27.58037339094827,204.8,5
8,84.57506687860709,27.626481545367003,206.2,5
9,84.58118328180836,27.662907995142064,455.8,5
10,84.5536589602706,27.59255155394441,197.8,5
11,84.53786198427,27.56777597027302,194.0,5
12,84.57318954548074,27.65053887276711,236.2,5
13,84.55203475788922,27.63389957273095,209.2,5
14,84.62746616511818,27.571793898092533,230.2,5
15,84.5793228621356,27.595378095320097,203.0,5
16,84.54568456153295,27.618630342064694,198.6,5
17,84.53478025351609,27.55168205504533,191.2,5
18,84.60143491179362,27.67953851023796,428.6,5
19,84.60141912518888,27.58010501464054,210.2,5
20,84.5922087179004,27.642886079741462,227.0,5
21,84.60085857171327,27.593543978283993,207.2,5
22,84.52538772204527,27.572008934980055,192.4,5
23,84.56345401328164,27.668349369483348,259.4,5
24,84.54614968322274,27.611411794270477,198.6,5
25,84.55175298087173,27.556763864032817,196.8,5
26,84.56549778422962,27.58643630540696,197.4,5
27,84.56326210633294,27.63546064178081,210.2,5
28,84.60562808363244,27.60509437567745,207.8,5
29,84.59457489380841,27.6214980947251,208.8,5
30,84.56503237226492,27.563568348963006,203.6,5
31,84.54720768203418,27.579741302235938,194.8,5
32,84.58144818076228,27.650516132527738,231.6,5
33,84.56253052817851,27.650158680271332,222.2,5
34,84.60262601760796,27.590273044250846,208.4,5
35,84.56534211130372,27.60439193475984,198.2,5
36,84.53853786972944,27.600365852036813,196.8,5
37,84.57697717188383,27.58754077471249,200.8,5
38,84.59595930793795,27.65353755819893,248.4,5
39,84.59758644659301,27.56724147533522,207.2,5
40,84.56897293780781,27.558550515915893,199.0,5
41,84.5783834622685,27.611945024919766,201.2,5
42,84.56087402805595,27.576872088448585,198.2,5
43,84.6135256862958,27.572091213647486,216.4,5
44,84.55618193670162,27.618539918890445,202.8,5
45,84.56216138419323,27.66113072471393,231.8,5
46,84.62178153184225,27.58561969117804,214.8,5
47,84.58592202149437,27.63392272476483,213.4,5
48,84.56885726739166,27.62938740493118,210.2,5
49,84.58642622319707,27.67137185552219,482.8,5
50,84.58395112548249,27.585067986704708,204.0,5
51,84.57490169986751,27.56907174313404,202.4,5
52,84.54855114990315,27.579160710210587,196.6,5
53,84.63398109407939,27.569428712861928,221.8,5
54,84.52727453013658,27.562925925123608,191.0,5
55,84.57636033218832,27.602346154974885,201.4,5
56,84.59540394667732,27.57854658350482,207.8,5
57,84.52735299294952,27.555321548990364,188.2,5
58,84.59219737436722,27.664219576607643,255.6,5
59,84.61380582427465,27.593446411145184,212.2,5
60,84.56510059400529,27.597778600179524,198.2,5
61,84.55695565424212,27.552115391481554,197.8,5
62,84.5739665429896,27.637958049807107,213.2,5
63,84.54388995655385,27.561473435917215,198.4,5
64,84.57053866367822,27.574892158776333,199.8,5
65,84.54697555750916,27.56263857860073,197.6,5
66,84.58271493009613,27.619766180446003,203.4,5
67,84.6243197178044,27.57625228114389,225.6,5
68,84.54650663825733,27.624245850305837,204.4,5
69,84.55406437004764,27.596687757337886,196.6,5
70,84.57832225338625,27.655799671867545,314.0,5
71,84.58136665785402,27.64095992233532,217.0,5
72,84.55514493511022,27.582583528327746,198.0,5
73,84.60938575001498,27.571367904377762,213.0,5
74,84.56130905908694,27.62374496045001,203.2,5
75,84.56984988684745,27.67060876165144,382.4,5
76,84.57806173005362,27.57941137461608,203.2,5
77,84.57406938077852,27.612596312389336,202.8,5
78,84.56165492004946,27.55985315147979,201.0,5
79,84.53319285910474,27.563406205393285,192.6,5
80,84.58620113506976,27.675090225420135,489.6,5
81,84.56707943516152,27.658873344664794,273.4,5
82,84.54302985247767,27.5530409597011,196.2,5
83,84.58808450843374,27.590648296492336,204.2,5
84,84.57654286743947,27.592110948953934,199.4,5
85,84.53556809127437,27.57803316798016,193.4,5
86,84.5914116569582,27.65681140569924,270.8,5
87,84.5823062333259,27.605010481576826,204.0,5
88,84.61732444325551,27.581103317607127,221.8,5
89,84.58773538791908,27.61284963000536,206.0,5
90,84.56258984860533,27.677674514971418,295.4,5
91,84.55667056065994,27.609460758658106,199.0,5
92,84.53004113698842,27.578272577661675,192.8,5
93,84.58981375454925,27.567609194177688,205.6,5
94,84.59988978268382,27.60562447519532,206.0,5
95,84.61031400526421,27.588835911117982,210.6,5
96,84.56697749453849,27.623140322192,203.4,5
97,84.59947072288301,27.571736315894192,209.0,5
98,84.56132373805629,27.6385922873622,214.2,5
99,84.58007489206389,27.6290963116038,208.2,5
100,84.59495934840572,27.61221262019674,206.8,5
