Chunk_ID,Longitude,Latitude,Altitude_m
1,84.10617358760112,27.547699438096267,136.0
2,84.53246324446684,27.476786242947547,635.0
3,84.28529748074219,27.555975743893686,178.0
4,84.64556284638519,27.48034697671826,527.0
5,83.9761814760566,27.501301851340372,198.0
6,84.42598282923994,27.504168224312437,410.0
7,84.2017964616905,27.52161628839189,249.0
8,84.22976672492335,27.632332482539013,162.0
9,84.51961557299141,27.538408870561412,195.0
10,84.03173350841773,27.48479671554163,261.0
11,84.65788798997518,27.552675012976888,251.0
12,84.35131013627593,27.527418249626383,206.0
13,84.4696128328644,27.429553283306017,317.0
14,84.57977769485535,27.49571355046996,394.0
15,84.24520540524685,27.47965930052366,293.0
16,84.18623183055108,27.593162054699963,152.0
17,84.28264288580037,27.66109405560453,167.0
18,84.48218895447427,27.53477005933886,210.0
19,84.40026998180548,27.469943060033092,341.0
20,84.56897986615017,27.54709261335224,201.0
21,84.05150623253937,27.528703091524704,272.0
22,84.53684787940084,27.428918699759823,522.0
23,84.12254156232937,27.513621262622515,333.0
24,84.16305509083597,27.548327998751347,150.0
25,84.39029433425269,27.540040823812657,210.0
26,83.98872482873496,27.456685278600006,262.0
27,84.44135355451184,27.46763262759274,537.0
28,84.30348339244104,27.502553150195144,201.0
29,84.63690877735345,27.519611312220935,293.0
30,83.92266139236794,27.529958810530168,178.0
31,84.45801111538684,27.487914409911802,554.0
32,84.22249846397767,27.562861575880202,152.0
33,84.35209098463339,27.4818786055038,223.0
34,84.17420681075568,27.493781757837326,317.0
35,84.02344648460254,27.532703944310935,216.0
36,84.66492435776806,27.4630304306629,514.0
37,84.24225699740404,27.51877898674287,236.0
38,84.44306422316039,27.530134730705303,237.0
39,84.49558434900747,27.447809182934552,513.0
40,84.61449979432106,27.47425483350753,518.0
41,84.49390876406943,27.49999152479323,488.0
42,84.66145973400857,27.519455858125994,305.0
43,84.55573133880476,27.52045424924206,269.0
44,84.0703976089172,27.479885171205733,364.0
45,84.09199651530884,27.516410787603938,411.0
46,84.47391782153501,27.56231067683324,185.0
47,84.14485404848863,27.56951868896453,153.0
48,83.9510582274444,27.465357125599667,249.0
49,83.9790490663705,27.53452919269769,203.0
50,84.60455730084838,27.55932802615923,206.0
51,84.04465988072063,27.444399381165983,256.0
52,84.21141355592641,27.455154487463844,375.0
53,84.58041507592101,27.466063457075485,611.0
54,84.39294298525387,27.504016800250973,383.0
55,84.6175092130081,27.53137386333887,258.0
56,84.59762668466857,27.506867318081067,326.0
57,84.42560959227474,27.55952951683908,177.0
58,84.2666822438468,27.525188678300765,181.0
59,84.07168254929924,27.538399282766715,139.0
60,84.34685033446206,27.5405004523166,189.0
61,84.32605834724733,27.52098605799996,236.0
62,84.2573642502044,27.54979596117775,165.0
63,84.67777377007056,27.4975830203887,382.0
64,84.15382262780969,27.528601544634913,226.0
65,84.31701517059783,27.668427404536537,173.0
66,84.55488317317759,27.46160355108603,699.0
67,84.67360411765931,27.56276499965904,250.0
68,83.99097220145966,27.484460299133747,194.0
69,84.00156732243497,27.497495882568426,197.0
70,84.2242974554252,27.48637436704961,339.0
71,84.51808903244469,27.409901737673522,390.0
72,84.46876172532654,27.45439770153227,506.0
73,84.50794214898414,27.513034923622772,310.0
74,84.63037782583831,27.45814332954096,672.0
75,84.06053381363799,27.506204870487505,266.0
76,84.42274581139057,27.453516143832886,288.0
77,84.22769155954263,27.54453838286777,156.0
78,83.96543540316469,27.529751541481268,268.0
79,84.63498758688836,27.493246941734707,386.0
80,84.32066212527987,27.53788700340435,189.0
81,84.18411682204584,27.54294970796274,169.0
82,84.00248161538713,27.513060628474385,250.0
83,84.36984825755196,27.560263568237666,186.0
84,84.25980616647864,27.643136496014826,160.0
85,84.16699291859258,27.598121643232492,147.0
86,84.19295461196157,27.488347650103798,310.0
87,84.66721639780042,27.437399043139852,583.0
88,84.20490206449733,27.624267158438432,165.0
89,84.37455924197295,27.490506723660477,426.0
90,84.02151258561436,27.465625009578055,260.0
91,84.49320878073199,27.48645273032849,573.0
92,84.41852357894295,27.532081127267606,234.0
93,84.23850922777723,27.459076539991774,366.0
94,84.69066396823298,27.461521936360015,413.0
95,84.4729925070666,27.51026200362792,353.0
96,84.59385614173749,27.533058339985974,237.0
97,84.2914524906571,27.520979944395847,197.0
98,84.52740821461416,27.444833897130426,563.0
99,84.0283600286005,27.505750580437383,241.0
100,84.49669483791482,27.423797669545344,419.0
101,84.1894024585953,27.615813982322866,157.0
102,84.64028853956958,27.538004785428363,257.0
103,84.44867923134825,27.5473431277467,188.0
104,84.15780478355103,27.50441741579813,336.0
105,84.53178022273663,27.504906805083312,398.0
106,84.54146363172458,27.54177754213747,198.0
107,84.14020679974585,27.54073367367926,146.0
108,83.95079222973548,27.482059509349707,213.0
109,84.21916199381012,27.50318571628913,454.0
110,84.51837307191019,27.468556375412856,646.0
111,84.42221599087735,27.488896866978898,511.0
112,84.45330338552667,27.43987661697382,308.0
113,84.36082847726422,27.49620807260848,398.0
114,83.93712864596272,27.522711139907067,193.0
115,84.39055771245728,27.457082684494875,210.0
116,84.5962828189842,27.47040050568054,522.0
117,84.17634964379587,27.50677754823753,286.0
118,84.30227733823148,27.546988108693476,194.0
119,84.57941028996575,27.553739745311287,200.0
120,84.33082739376411,27.50463395796756,277.0
121,84.05576395396106,27.45460842597978,292.0
122,84.26407201317403,27.471621588372674,278.0
123,84.68550341913185,27.558783539690605,237.0
