Chunk_ID,Longitude,Latitude,Altitude_m,MC_Draws
1,84.83589927628486,27.50368199186532,353.0,5
2,84.89924368797186,27.417470035613263,546.2,5
3,84.78002459882683,27.56408612147272,760.8,5
4,84.84025758251111,27.447845134025446,466.2,5
5,84.94916719762838,27.38944335917837,621.6,5
6,84.86823137367081,27.479590572956553,338.2,5
7,84.75205760748463,27.58292036976392,821.6,5
8,84.87317180421377,27.428022871124778,478.6,5
9,84.92932289837486,27.443160868414083,395.4,5
10,84.79446493679862,27.544417313621715,383.4,5
11,84.91465711206546,27.384013195653733,713.8,5
12,84.8871025630295,27.46198327580668,390.0,5
13,84.82541860766082,27.43158900859647,552.4,5
14,84.7495326985804,27.570562270419014,453.6,5
15,84.82358646143979,27.469659951930527,583.6,5
16,84.87395151308098,27.49478554179894,604.4,5
17,84.80043039532944,27.574402034855133,626.0,5
18,84.93694268383368,27.426052046014426,456.6,5
19,84.82438159046886,27.544570451318993,564.2,5
20,84.88313804263292,27.400840470103482,575.2,5
21,84.87257699195223,27.445607332034523,474.6,5
22,84.92206909624448,27.37096528660851,759.4,5
23,84.8381778858119,27.467071473818347,418.8,5
24,84.73951605714294,27.574261256670155,410.8,5
25,84.93884889334137,27.404510551957767,558.2,5
26,84.95210900123665,27.431365064773694,480.4,5
27,84.84995315512458,27.413503385623322,691.6,5
28,84.9007252407373,27.444482873915845,410.2,5
29,84.81450066431225,27.4392720933534,630.4,5
30,84.77343804691382,27.585239814407732,668.2,5
31,84.78408974536887,27.565513826478988,917.6,5
32,84.8761696184795,27.48803770044183,420.4,5
33,84.82366011670696,27.52350966668974,333.6,5
34,84.89823355542175,27.388882059868266,694.0,5
35,84.89731767382064,27.399664811709876,589.8,5
36,84.85105407634823,27.46016661748388,564.8,5
37,84.73881656245861,27.599059825228096,570.2,5
38,84.81402614734641,27.45157112596589,655.8,5
39,84.82637711524015,27.480250305324244,443.4,5
40,84.72625968001554,27.567609706981045,258.6,5
41,84.86085188795715,27.40601528606936,596.8,5
42,84.85843326501957,27.498849276493637,582.0,5
43,84.78199608124962,27.542937610927105,341.8,5
44,84.84342467938524,27.521655498762847,703.8,5
45,84.91038498235453,27.401774852719647,598.6,5
46,84.77001872075745,27.571749324631465,869.0,5
47,84.75199760977483,27.55694993746861,339.2,5
48,84.94278415280527,27.43701950699418,417.0,5
49,84.8602201371232,27.433440840128092,565.8,5
50,84.91475506364878,27.4503350972727,395.0,5
51,84.85745651926727,27.485869851340876,325.4,5
52,84.86684655368168,27.472628194799366,363.4,5
53,84.94457571571905,27.374331662745128,750.6,5
54,84.88774033730655,27.433522613190235,463.6,5
55,84.92836735810609,27.398872209805678,635.2,5
56,84.89139351159638,27.485210396561243,550.2,5
57,84.88925093975199,27.424013219392524,507.4,5
58,84.82852285499361,27.421983283155235,575.8,5
59,84.77781402187722,27.554106510986493,469.4,5
60,84.86761886584578,27.40080125725963,573.8,5
61,84.88032581173003,27.475553088455,398.6,5
62,84.95030775974783,27.418394154585574,488.0,5
63,84.84396494441178,27.4274132235509,631.4,5
64,84.81402564749813,27.421952194326455,597.8,5
65,84.76669915342481,27.556401208136926,477.4,5
66,84.85218347727724,27.47773585103466,390.4,5
67,84.9326247848987,27.417821519447116,497.8,5
68,84.88471345259846,27.45920949235306,405.2,5
69,84.85678346624158,27.51152339049813,740.0,5
70,84.8610822456798,27.41933566188232,588.6,5
71,84.78358707664428,27.58601931254354,583.8,5
72,84.81462991481706,27.530655283254255,335.2,5
73,84.81468720081342,27.552181736954008,724.2,5
74,84.8730278606201,27.413519307785396,544.6,5
75,84.85999230541172,27.451638570264908,455.0,5
76,84.82936672921713,27.520646301271587,363.4,5
77,84.76425810496582,27.547056905240062,342.8,5
78,84.84364013651201,27.485317231515698,344.4,5
79,84.81069820526211,27.44081244943535,676.6,5
80,84.91420302817258,27.414758961844097,497.4,5
81,84.7850062768881,27.557194791566026,631.4,5
82,84.9295855077661,27.40298246439803,576.0,5
83,84.83553021573526,27.4408825996824,573.0,5
84,84.82891152536128,27.4423648323904,544.2,5
85,84.94526285195624,27.40793183660843,515.0,5
86,84.91928416878828,27.43983293975486,474.4,5
87,84.85332368495868,27.43610318779737,562.0,5
88,84.75558760682186,27.600392327385233,480.0,5
89,84.8380606532915,27.454493386530867,448.4,5
90,84.74188679588875,27.56209569359282,307.0,5
91,84.93138880973297,27.4554352692871,384.4,5
92,84.83076590354386,27.527155053879145,553.2,5
93,84.88579154243726,27.390992784763817,674.6,5
94,84.90388291812376,27.447064645052627,386.4,5
95,84.88643832885738,27.497497917235734,665.4,5
96,84.94775521463559,27.380710331646835,684.2,5
97,84.9277319327425,27.418867615610683,507.6,5
98,84.95204182813636,27.40392415772474,552.0,5
99,84.89514576821126,27.432220916857805,465.0,5
100,84.8080430999211,27.544342806257273,388.2,5
