Chunk_ID,Longitude,Latitude,Altitude_m
1,84.59860866461611,27.576831437931194,212.0
2,84.57953967041702,27.657161990606692,344.0
3,84.5562289771078,27.60330917061247,197.0
4,84.53173640382566,27.559493277099378,194.0
5,84.57500329495093,27.61681264397307,200.0
6,84.55986599024241,27.57173938807003,199.0
7,84.60424647286193,27.608578612102654,209.0
8,84.624193315674,27.58610155012542,215.0
9,84.54968869164392,27.62911685837156,208.0
10,84.59465930751087,27.67264582654418,323.0
11,84.58058809205434,27.598433066189408,203.0
12,84.56376698963813,27.659801179223386,239.0
13,84.58410164894437,27.64071326648449,216.0
14,84.54769644384199,27.5836353183161,199.0
15,84.5644923657783,27.563388382836447,201.0
16,84.58279083446712,27.585106910131863,203.0
17,84.56581146348452,27.642597184378282,217.0
18,84.57576881334543,27.675525761765982,460.0
19,84.54859374347369,27.558270663533044,196.0
20,84.62309390065106,27.57569070729933,226.0
21,84.53619706177356,27.576207155936306,194.0
22,84.59793627889898,27.597342559773555,207.0
23,84.56683356703714,27.58949924463402,200.0
24,84.56459176340323,27.62464263953298,204.0
25,84.54095743956643,27.597098666835596,195.0
26,84.58805761634022,27.62035275213001,210.0
27,84.5849792813594,27.57372669506146,206.0
28,84.60733565977108,27.58638603450899,212.0
29,84.59585159778301,27.65625924594971,248.0
30,84.52143018682908,27.574987371674897,190.0
31,84.56295024724739,27.552515364259992,197.0
32,84.56849663248988,27.604580808112186,200.0
33,84.57402718855222,27.63949538355332,212.0
34,84.55692669014032,27.617067393534853,202.0
35,84.5891315646007,27.60999540330676,207.0
36,84.56550970273543,27.680823642480988,305.0
37,84.54263126953863,27.6154541775677,196.0
38,84.54287873081321,27.566362121663317,196.0
39,84.56526043290269,27.66841676742083,276.0
40,84.63011877589662,27.568978269076148,229.0
41,84.57601494587546,27.579025257348384,202.0
42,84.6073053639133,27.566827953454652,212.0
43,84.52094311605894,27.55018909863217,186.0
44,84.58795486791954,27.662456740777696,310.0
45,84.6132381901412,27.594019377873636,210.0
46,84.57998516119623,27.625704756151983,206.0
47,84.5733632451093,27.56584280329469,204.0
48,84.58796128151971,27.632028071846978,213.0
49,84.55345220087099,27.591973204762358,198.0
50,84.53759194065417,27.553040567112934,191.0
51,84.58836970174595,27.59124883470041,204.0
52,84.57205301862008,27.65545784450353,295.0
53,84.6143459292665,27.578637897271783,217.0
54,84.59228710866508,27.64629724171806,232.0
55,84.59891686818965,27.680379688905916,459.0
56,84.55461731979611,27.578024716711344,199.0
57,84.52914928921018,27.56582836106911,195.0
58,84.57956610458575,27.667696330370326,479.0
59,84.59504677856796,27.615700025599878,207.0
60,84.5651033842336,27.632316110177673,210.0
61,84.56605366979747,27.58066977978949,199.0
62,84.59134123338717,27.565186923055766,205.0
63,84.58045054578095,27.64823358991406,222.0
64,84.56668016852039,27.61300126632768,199.0
65,84.56578552495478,27.652166973095497,228.0
66,84.60040869332532,27.591184635272214,211.0
67,84.5769077434807,27.589861490289408,203.0
68,84.54796932055463,27.600070340564848,197.0
69,84.5481554528092,27.568570692976728,194.0
70,84.55683079851866,27.563917827806538,198.0
71,84.55746091939217,27.630338621608555,208.0
72,84.57875231974064,27.605916963128095,201.0
73,84.57277059855517,27.62605627184344,201.0
74,84.56808834281166,27.598440524938372,197.0
75,84.5944708469376,27.603912593745907,208.0
76,84.60486998390925,27.57597022146418,210.0
77,84.55509980656652,27.552323928523244,197.0
78,84.58899608147655,27.57645717798014,207.0
79,84.6147428379416,27.587799542054277,213.0
80,84.59137150611957,27.68163335453187,614.0
81,84.53944372043482,27.577610077742055,192.0
82,84.61936125780375,27.571235394507735,221.0
83,84.54955600311942,27.6144434295359,199.0
84,84.57368391977718,27.667407572202794,528.0
85,84.55793723477315,27.64390351313647,225.0
86,84.59483186675898,27.6657850500697,251.0
87,84.52261670509543,27.56429640543306,196.0
88,84.55624238693365,27.585982260117788,198.0
89,84.60572524125114,27.60250992196143,208.0
90,84.58643787316386,27.670589913664585,462.0
91,84.58053193529736,27.566309587558187,202.0
92,84.54978388536307,27.62067048792728,201.0
93,84.52726067925677,27.573813949800204,191.0
94,84.5455275477744,27.57412556662673,194.0
95,84.58739355625639,27.655736178555383,247.0
96,84.5417763836197,27.556530891308576,193.0
97,84.56143663337416,27.606058465351296,201.0
98,84.56752374817016,27.572896782919692,203.0
99,84.52701843162549,27.553394628635544,190.0
100,84.58830298427858,27.60434218311091,203.0
101,84.64177138598102,27.572417215044428,224.0
102,84.57949414714534,27.63298946242473,210.0
103,84.59763862640087,27.611122467375107,206.0
104,84.59689034963739,27.573005437269977,208.0
105,84.56234078539572,27.59946386307681,200.0
106,84.56907452140722,27.658308179871867,299.0
107,84.58408735654984,27.614972906277675,203.0
108,84.6092019355825,27.573642508344488,213.0
109,84.59436892593965,27.584591774123325,207.0
110,84.57460673517309,27.610567630611385,203.0
111,84.53597406356023,27.56831716916498,191.0
112,84.53563098078348,27.602478501489163,192.0
113,84.56706465964379,27.677176996067946,339.0
114,84.56185031385647,27.577998557731906,198.0
115,84.5719404773731,27.63552510980155,216.0
116,84.57455715049223,27.646424068882578,217.0
117,84.57624345799204,27.601487809394907,201.0
118,84.52719598613658,27.58241127953895,192.0
119,84.59298966865829,27.625372530323087,212.0
120,84.55722850170645,27.62247577141525,204.0
121,84.59240208265686,27.59476462637797,206.0
122,84.57422526217823,27.58665095184668,200.0
123,84.55602667192164,27.608449927206657,197.0
124,84.56008623290062,27.557505328278083,198.0
125,84.60225390640356,27.586467745216034,212.0
126,84.56110580635338,27.654160667651567,224.0
127,84.62652943931326,27.575880566546118,226.0
128,84.59107402279619,27.57226081619849,207.0
129,84.5819259656614,27.619793906072598,203.0
130,84.60144203126174,27.674954046536985,294.0
131,84.57563818934443,27.660786628866482,440.0
132,84.58375102615608,27.594184262657443,206.0
133,84.5910453844465,27.638927973599966,219.0
